Date,Temp_Average,Temp_Max,Temp_Min,Precipitation,Humidity,Wind_Speed
1986-01-01,-0.42,2.9,-2.64,0.36,85.77,0.97
1986-01-02,0.55,6.7,-2.81,0.0,60.75,1.22
1986-01-03,1.58,8.4,-2.14,0.0,45.59,1.39
1986-01-04,3.19,11.32,-1.95,0.0,35.81,1.57
1986-01-05,4.74,9.47,2.23,0.0,40.79,1.2
1986-01-06,3.7,9.25,-0.08,0.0,66.9,1.52
1986-01-07,5.88,13.89,1.63,0.0,46.02,1.35
1986-01-08,6.64,12.96,2.66,0.0,39.32,1.7
1986-01-09,6.4,10.48,2.25,0.0,49.12,1.12
1986-01-10,7.5,14.94,3.57,0.0,44.24,1.39
1986-01-11,5.62,10.04,2.23,0.0,57.71,1.68
1986-01-12,5.94,13.03,1.32,0.0,50.39,1.5
1986-01-13,5.88,9.86,4.58,1.07,57.64,2.57
1986-01-14,6.27,10.41,4.45,0.8,74.37,1.52
1986-01-15,7.95,16.23,2.43,0.13,57.35,2.28
1986-01-16,3.54,6.09,-0.4,8.05,87.6,1.59
1986-01-17,0.41,5.52,-1.88,2.64,73.65,1.03
1986-01-18,2.69,7.96,-1.11,0.32,67.77,1.47
1986-01-19,3.61,12.48,-1.84,0.0,43.5,1.96
1986-01-20,8.08,16.81,1.83,0.0,37.44,2.02
1986-01-21,8.87,15.86,3.91,0.0,53.34,1.87
1986-01-22,1.17,7.5,-1.82,0.19,78.75,2.39
1986-01-23,0.58,6.47,-3.16,0.06,69.02,1.56
1986-01-24,-1.01,2.17,-3.71,11.27,78.97,1.54
1986-01-25,-3.71,-0.86,-5.59,2.59,86.3,1.18
1986-01-26,-3.23,1.46,-6.2,0.0,67.07,1.09
1986-01-27,-1.46,2.68,-4.05,0.0,42.28,0.94
1986-01-28,-2.18,1.86,-5.9,0.0,63.74,0.94
1986-01-29,-4.8,-0.07,-7.92,0.02,80.09,1.78
1986-01-30,-1.76,3.58,-6.03,0.0,61.11,1.68
1986-01-31,0.3,5.24,-2.87,0.0,51.26,1.86
1986-02-01,-0.47,3.53,-2.77,0.0,64.26,1.16
1986-02-02,-0.3,6.34,-4.51,0.0,65.49,1.11
1986-02-03,-1.57,0.7,-3.77,0.03,82.53,1.53
1986-02-04,0.47,5.48,-2.2,0.08,78.73,1.17
1986-02-05,4.89,11.94,-0.38,0.01,51.26,1.49
1986-02-06,4.51,9.78,1.58,0.4,74.87,2.21
1986-02-07,7.9,15.49,1.98,0.0,46.6,1.6
1986-02-08,5.16,8.61,2.93,0.81,71.3,1.05
1986-02-09,2.23,3.86,1.04,1.8,91.5,0.8
1986-02-10,4.25,10.41,0.61,0.18,76.32,1.57
1986-02-11,3.29,8.62,-0.12,0.0,68.77,2.13
1986-02-12,-0.77,1.34,-2.98,0.75,80.29,1.76
1986-02-13,-1.86,1.42,-3.48,2.51,81.67,2.1
1986-02-14,-1.53,1.6,-3.79,0.16,74.36,1.84
1986-02-15,1.15,6.56,-2.92,0.0,63.37,1.12
1986-02-16,2.77,7.93,-0.09,0.0,64.42,1.55
1986-02-17,0.77,2.55,-2.58,0.13,73.2,1.38
1986-02-18,0.1,3.95,-2.99,0.3,76.39,1.75
1986-02-19,2.45,8.5,-1.62,0.0,58.7,1.66
1986-02-20,4.13,10.03,0.03,0.0,46.62,1.21
1986-02-21,5.63,12.73,0.08,0.0,40.38,1.67
1986-02-22,3.4,7.91,-1.89,0.13,58.23,1.44
1986-02-23,0.48,6.16,-3.82,0.02,63.87,1.05
1986-02-24,5.88,14.17,-0.11,0.0,31.59,1.73
1986-02-25,6.84,16.1,0.75,0.0,28.95,1.75
1986-02-26,8.69,18.06,2.46,0.0,29.99,1.71
1986-02-27,10.28,19.39,3.75,0.0,33.87,1.54
1986-02-28,12.13,21.42,4.86,0.0,38.54,2.01
1986-03-01,12.8,20.38,8.48,0.0,47.18,1.67
1986-03-02,10.72,19.63,1.56,0.03,52.11,2.44
1986-03-03,-3.66,0.28,-7.23,7.5,83.48,2.67
1986-03-04,0.11,6.06,-6.16,0.0,69.63,1.13
1986-03-05,0.93,7.22,-4.75,0.16,57.56,2.37
1986-03-06,3.04,10.96,-2.76,0.01,35.25,1.48
1986-03-07,8.46,17.49,1.6,0.0,28.06,1.94
1986-03-08,9.76,18.6,4.65,0.0,28.54,1.71
1986-03-09,11.57,21.06,3.98,0.0,32.91,1.62
1986-03-10,9.24,14.4,5.59,3.01,51.69,1.48
1986-03-11,6.5,9.67,3.62,3.43,78.53,2.38
1986-03-12,0.65,4.04,-2.51,2.07,84.95,1.76
1986-03-13,1.34,8.3,-3.6,0.09,63.2,1.72
1986-03-14,2.68,8.26,-2.43,0.05,60.05,1.5
1986-03-15,-0.76,0.89,-3.28,1.75,77.57,1.47
1986-03-16,-1.59,3.3,-4.91,0.6,61.72,1.49
1986-03-17,-1.89,3.33,-5.98,0.1,57.46,1.85
1986-03-18,0.54,6.21,-3.6,0.0,53.65,1.34
1986-03-19,2.62,9.85,-2.93,0.0,45.91,1.31
1986-03-20,5.16,11.32,0.71,0.0,43.75,1.37
1986-03-21,6.45,13.22,1.58,0.0,47.41,1.69
1986-03-22,7.02,14.3,0.95,0.0,47.57,2.0
1986-03-23,1.82,3.73,-0.64,0.14,78.17,1.32
1986-03-24,3.92,10.21,-1.91,0.07,53.91,1.79
1986-03-25,2.71,6.69,-1.28,1.04,67.72,1.51
1986-03-26,2.65,9.9,-2.2,0.0,43.52,1.7
1986-03-27,2.93,8.73,-2.11,0.0,42.77,1.95
1986-03-28,2.75,9.0,-2.23,0.01,51.52,1.72
1986-03-29,5.3,10.93,0.66,0.0,46.07,1.52
1986-03-30,1.77,5.06,-0.56,0.23,79.49,2.02
1986-03-31,3.56,10.71,-2.89,0.05,61.66,1.5
1986-04-01,5.98,14.28,-0.77,0.0,46.25,1.71
1986-04-02,9.56,17.95,2.79,0.0,38.12,1.63
1986-04-03,12.72,21.8,5.37,0.0,35.23,1.72
1986-04-04,16.03,24.68,8.06,0.0,31.61,1.77
1986-04-05,12.75,17.8,6.72,0.62,47.07,1.29
1986-04-06,12.65,22.22,4.88,0.0,46.32,2.13
1986-04-07,13.7,21.73,6.59,0.0,40.66,1.89
1986-04-08,13.47,21.18,7.88,0.0,43.45,1.74
1986-04-09,13.65,20.36,7.5,0.0,38.14,1.8
1986-04-10,12.79,21.55,5.92,0.0,37.26,2.57
1986-04-11,14.81,24.05,6.91,0.0,29.49,1.67
1986-04-12,16.5,24.99,8.22,0.01,30.71,1.82
1986-04-13,18.8,26.5,12.56,0.97,43.69,1.5
1986-04-14,16.04,20.87,12.5,2.46,76.23,1.25
1986-04-15,18.38,24.92,12.89,0.22,60.0,1.34
1986-04-16,17.87,22.8,13.22,0.7,57.23,1.29
1986-04-17,19.11,26.93,11.56,0.0,46.41,1.77
1986-04-18,21.46,28.81,14.76,0.09,40.34,1.68
1986-04-19,14.64,20.2,10.08,7.19,72.67,2.12
1986-04-20,14.75,22.96,8.0,0.03,59.24,2.3
1986-04-21,13.63,19.37,9.24,4.23,74.29,1.5
1986-04-22,7.94,11.85,3.47,3.74,75.47,2.89
1986-04-23,11.41,19.69,3.3,0.0,52.58,2.41
1986-04-24,13.92,21.56,8.41,0.0,45.83,1.86
1986-04-25,11.95,17.87,7.34,0.02,60.56,1.92
1986-04-26,13.6,19.63,7.79,0.06,57.26,1.3
1986-04-27,13.37,20.99,5.59,0.39,51.3,1.57
1986-04-28,13.63,19.73,7.28,0.0,47.23,1.57
1986-04-29,14.79,21.13,7.9,0.04,41.36,1.53
1986-04-30,15.56,23.11,8.26,0.0,42.51,2.08
1986-05-01,17.27,26.16,8.17,0.0,32.83,1.68
1986-05-02,19.72,27.83,13.29,0.0,29.1,1.95
1986-05-03,21.31,30.17,11.37,0.0,27.97,2.02
1986-05-04,25.52,34.79,16.48,0.0,23.74,2.57
1986-05-05,29.15,38.32,21.5,0.0,22.92,2.8
1986-05-06,22.72,28.12,18.6,1.02,44.96,1.91
1986-05-07,21.91,28.71,16.04,0.27,46.93,1.91
1986-05-08,22.56,30.31,14.82,0.0,33.22,2.12
1986-05-09,22.32,29.53,16.56,0.0,30.14,2.35
1986-05-10,23.33,31.17,16.48,0.0,28.21,1.98
1986-05-11,25.87,34.42,16.62,0.0,23.98,1.75
1986-05-12,22.16,28.61,16.41,0.05,32.05,2.24
1986-05-13,21.22,28.77,14.79,0.13,31.0,1.83
1986-05-14,23.28,32.28,16.77,0.07,29.5,2.53
1986-05-15,22.24,28.83,16.15,0.57,36.92,2.0
1986-05-16,21.8,29.05,13.53,1.64,41.6,1.86
1986-05-17,15.74,18.91,9.79,1.25,48.87,2.41
1986-05-18,14.22,20.46,7.21,0.14,30.94,1.64
1986-05-19,15.3,22.34,8.54,0.0,31.15,2.33
1986-05-20,17.47,25.82,7.9,0.0,30.54,3.26
1986-05-21,20.15,28.2,11.33,0.0,27.18,2.12
1986-05-22,21.35,28.42,13.19,0.0,25.36,1.8
1986-05-23,23.14,31.54,13.8,0.0,19.6,1.76
1986-05-24,26.89,34.32,19.86,0.08,16.63,1.65
1986-05-25,24.23,30.37,17.76,0.91,32.56,2.56
1986-05-26,23.65,30.13,17.62,0.04,28.6,2.08
1986-05-27,24.31,32.33,16.63,0.01,23.77,2.12
1986-05-28,24.28,31.89,16.46,0.0,20.47,2.57
1986-05-29,23.74,31.46,16.07,1.85,22.84,2.11
1986-05-30,21.16,26.51,16.08,0.09,38.96,1.61
1986-05-31,21.75,27.36,14.94,0.0,36.29,0.95
1986-06-01,24.29,30.7,17.45,0.14,31.77,1.4
1986-06-02,22.7,27.7,16.29,0.01,34.72,1.34
1986-06-03,23.12,30.66,16.18,0.39,33.87,2.34
1986-06-04,22.79,30.54,15.03,0.02,29.06,2.21
1986-06-05,23.85,32.2,14.34,0.01,18.82,1.98
1986-06-06,25.8,33.64,17.32,0.0,12.28,1.72
1986-06-07,25.46,33.99,14.83,0.0,17.06,2.02
1986-06-08,25.05,32.03,18.73,0.0,16.57,2.31
1986-06-09,22.21,29.47,15.05,0.01,13.11,2.91
1986-06-10,22.3,31.26,12.66,0.0,12.59,2.55
1986-06-11,21.99,28.18,16.22,0.08,25.86,1.75
1986-06-12,24.03,30.59,16.51,0.0,29.04,1.37
1986-06-13,27.24,34.36,19.78,0.0,16.8,2.01
1986-06-14,25.81,32.54,18.9,0.0,18.07,2.05
1986-06-15,22.74,29.37,16.59,0.0,24.14,2.73
1986-06-16,23.87,32.62,14.66,0.0,19.6,1.84
1986-06-17,27.75,35.52,18.43,0.0,11.76,1.95
1986-06-18,29.22,37.12,21.39,0.0,11.49,2.33
1986-06-19,29.63,37.19,21.72,0.01,14.33,2.01
1986-06-20,29.32,36.74,21.66,0.06,20.02,2.91
1986-06-21,26.26,33.47,19.53,0.0,20.52,3.02
1986-06-22,26.88,35.43,17.67,0.0,18.44,2.53
1986-06-23,28.29,37.11,20.12,0.0,15.28,2.32
1986-06-24,28.64,36.07,21.58,0.01,15.16,2.3
1986-06-25,28.77,36.24,19.73,0.0,15.84,2.2
1986-06-26,29.16,36.44,21.17,0.0,16.19,2.55
1986-06-27,29.15,37.27,20.58,0.0,18.31,2.47
1986-06-28,29.77,37.67,21.37,0.0,19.16,2.34
1986-06-29,29.03,36.64,20.07,0.01,21.26,2.11
1986-06-30,30.32,38.53,22.2,0.0,17.56,2.69
1986-07-01,30.81,39.37,21.44,0.0,13.38,2.19
1986-07-02,32.03,40.15,24.99,0.0,10.63,2.68
1986-07-03,29.97,37.68,22.13,0.0,15.28,3.27
1986-07-04,28.31,36.56,19.63,0.0,16.1,3.14
1986-07-05,28.0,37.25,18.32,0.0,13.12,3.35
1986-07-06,28.05,36.47,19.78,0.0,14.44,3.78
1986-07-07,26.36,35.72,17.11,0.0,13.45,2.45
1986-07-08,26.17,34.09,18.82,0.0,12.02,2.44
1986-07-09,25.94,32.67,18.74,0.0,16.78,3.28
1986-07-10,25.37,34.23,16.01,0.0,16.33,2.53
1986-07-11,27.62,36.38,18.3,0.0,14.13,2.16
1986-07-12,29.47,38.43,20.52,0.0,15.57,2.27
1986-07-13,31.44,41.24,22.15,0.0,14.12,2.09
1986-07-14,32.06,40.73,23.08,0.0,14.37,2.46
1986-07-15,32.79,41.86,23.7,0.0,14.23,2.97
1986-07-16,32.77,41.4,24.15,0.0,14.71,2.68
1986-07-17,32.52,41.48,24.37,0.0,16.6,2.26
1986-07-18,32.18,40.6,24.52,0.0,17.4,3.59
1986-07-19,28.04,35.2,21.04,0.0,19.7,3.55
1986-07-20,27.64,35.45,19.4,0.0,18.7,2.94
1986-07-21,27.85,36.36,20.22,0.0,18.86,2.52
1986-07-22,21.55,24.95,17.07,4.32,45.82,2.1
1986-07-23,23.67,31.65,15.35,0.0,35.42,2.71
1986-07-24,26.18,34.38,17.75,0.0,25.74,1.82
1986-07-25,28.16,36.03,19.61,0.0,23.68,1.95
1986-07-26,29.7,37.41,22.43,0.0,19.41,1.9
1986-07-27,30.46,38.66,21.86,0.0,16.57,2.3
1986-07-28,31.56,39.76,23.65,0.0,14.76,2.37
1986-07-29,31.68,39.4,24.45,0.0,16.48,2.94
1986-07-30,30.77,38.25,22.93,0.0,20.76,2.99
1986-07-31,30.46,39.29,22.05,0.0,19.19,2.12
1986-08-01,31.63,41.24,24.05,0.0,15.11,2.77
1986-08-02,31.08,41.04,21.66,0.0,13.81,2.42
1986-08-03,31.64,41.21,22.46,0.01,15.9,3.55
1986-08-04,27.9,34.0,21.38,0.0,21.0,3.2
1986-08-05,26.35,33.33,19.7,0.0,21.9,2.14
1986-08-06,26.51,32.89,20.47,0.03,25.74,1.61
1986-08-07,26.0,32.95,19.28,0.0,27.23,2.39
1986-08-08,24.47,30.31,19.59,0.0,27.69,1.91
1986-08-09,21.2,28.0,15.39,0.0,27.53,2.79
1986-08-10,23.66,32.99,14.79,0.0,18.37,1.92
1986-08-11,26.06,34.73,17.7,0.0,15.53,2.01
1986-08-12,27.81,36.54,19.71,0.0,15.5,1.73
1986-08-13,27.5,35.71,19.04,0.0,19.18,2.39
1986-08-14,27.73,35.9,20.0,0.0,18.44,2.5
1986-08-15,27.67,36.43,19.73,0.0,14.51,2.7
1986-08-16,29.0,37.84,20.83,0.0,10.65,2.01
1986-08-17,28.25,37.36,20.37,0.0,11.76,2.56
1986-08-18,28.27,36.4,20.72,0.0,15.65,3.23
1986-08-19,24.47,32.83,17.33,0.0,17.05,2.78
1986-08-20,23.09,32.28,15.01,0.0,16.07,2.89
1986-08-21,23.96,33.01,14.78,0.0,13.92,2.01
1986-08-22,25.31,33.69,17.44,0.0,13.52,2.21
1986-08-23,26.84,35.2,19.41,0.0,12.89,2.16
1986-08-24,27.02,35.6,18.33,0.0,13.67,2.05
1986-08-25,27.63,35.31,20.96,0.0,14.18,2.46
1986-08-26,25.74,34.4,18.41,0.0,18.85,2.61
1986-08-27,25.44,33.31,18.57,0.0,20.13,1.81
1986-08-28,25.24,33.51,18.89,0.0,22.15,2.41
1986-08-29,24.3,32.67,15.99,0.0,21.32,1.69
1986-08-30,24.74,32.2,17.4,0.0,17.58,2.07
1986-08-31,24.65,31.36,17.58,0.0,19.39,2.39
1986-09-01,19.85,27.17,13.36,0.0,21.93,2.94
1986-09-02,22.43,32.51,13.5,0.0,10.91,2.36
1986-09-03,22.65,31.69,14.83,0.0,10.03,2.02
1986-09-04,23.58,32.58,15.59,0.0,11.28,1.98
1986-09-05,23.32,31.92,15.45,0.0,13.37,1.99
1986-09-06,23.56,32.75,16.16,0.0,15.79,1.96
1986-09-07,24.72,33.37,17.45,0.0,15.83,2.29
1986-09-08,24.03,32.1,17.14,0.0,17.76,1.79
1986-09-09,22.95,30.65,15.96,0.0,19.02,2.0
1986-09-10,22.99,31.47,15.71,0.0,17.98,1.9
1986-09-11,23.15,32.06,15.72,0.0,15.78,1.89
1986-09-12,22.68,31.13,15.57,0.0,16.39,2.65
1986-09-13,21.22,30.26,14.34,0.0,23.04,2.37
